name,slug,image
Big Catch Bass Fishing Megaways,blueprint-big-catch-bass-fishing-megaways,blueprint-big-catch-bass-fishing-megaways.jpg
Shinobi Spirit,print-shinobi-spirit,print-shinobi-spirit.jpg
Honey Hunters,print-honey-hunters,print-honey-hunters.jpg
Jiggly Cash,thunderkick-jiggly-cash,thunderkick-jiggly-cash.jpg
The Gunman of Goldwood,thunderkick-the-gunman-of-goldwood,thunderkick-the-gunman-of-goldwood.jpg
Pyramyth,thunderkick-pyramyth,thunderkick-pyramyth.jpg
Jin Chan’s Pond of Riches,thunderkick-jin-chans-pond-of-riches,thunderkick-jin-chans-pond-of-riches.jpg
Sword of Shoguns,thunderkick-sword-of-shoguns,thunderkick-sword-of-shoguns.jpg
King of the Party,thunderkick-king-of-the-party,thunderkick-king-of-the-party.jpg
Huntress Wild Vengeance,print-huntress-wild-vengeance,print-huntress-wild-vengeance.jpg
Win-O-Mart,print-win-o-mart,print-win-o-mart.jpg
Bison Rising Gold Strike,blueprint-bison-rising-gold-strike,blueprint-bison-rising-gold-strike.jpg
Reapers,print-reapers,print-reapers.jpg
Napoleon: Rise of an Empire,blueprint-napoleon,blueprint-napoleon.jpg
Midas Golden Touch Christmas Edition,thunderkick-midas-golden-touch-christmas-edition,thunderkick-midas-golden-touch-christmas-edition.jpg
Diamond Mine Extra Gold,blueprint-diamond-mine-extra-gold,blueprint-diamond-mine-extra-gold.jpg
Beat the Beast: Quetzalcoatl's Trial,thunderkick-beatthe-beast-quetzalcoatls-trial,thunderkick-beatthe-beast-quetzalcoatls-trial.jpg
Eager Beavers,thunderkick-eager-beavers,thunderkick-eager-beavers.jpg
King Kong Cash Even Bigger Bananas Megaways,blueprint-king-kong-cash-even-bigger-bananas-megaways,blueprint-king-kong-cash-even-bigger-bananas-megaways.jpg
DragonFall,blueprint-dragon-fall,blueprint-dragon-fall.jpg
Sword of Arthur,thunderkick-sword-of-arthur,thunderkick-sword-of-arthur.jpg
Zap Attack!,thunderkick-zap-attack,thunderkick-zap-attack.jpg
Out Of The Ice,print-out-of-the-ice,print-out-of-the-ice.jpg
Eye of Horus Rise of Egypt,blueprint-eye-of-horus-rise-of-egypt,blueprint-eye-of-horus-rise-of-egypt.jpg
Crystal Golem,print-crystal-golem,print-crystal-golem.jpg
Dragon Horn,thunderkick-dragon-horn-tk,thunderkick-dragon-horn-tk.jpg
Crystal Quest: Frostlands,thunderkick-crystal-quest-frostlands,thunderkick-crystal-quest-frostlands.jpg
Bison Rising MegaWays,blueprint-bison-rising-megaways,blueprint-bison-rising-megaways.jpg
Rex the Hunt!,thunderkick-rex-the-hunt,thunderkick-rex-the-hunt.jpg
Fortune Cats Golden Stacks,thunderkick-fortune-cats-golden-stacks,thunderkick-fortune-cats-golden-stacks.jpg
King kong Cash Even bigger Bananas Christmas,blueprint-king-kong-cash-even-bigger-bananas-christmas,blueprint-king-kong-cash-even-bigger-bananas-christmas.jpg
